simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
SCh,1,2022,Consociacion Sierra Chica,Consociacion,IVws,28,0
Se1,1,2023,Consociacion Segui 1,Consociacion,IIs,86,0
Se2,1,2024,Consociacion Segui 2,Consociacion,IIs,85,0
Se3,1,2025,Asociacion Segui 3,Asociacion,IIs,81,0
Se4,1,2026,Asociacion Segui 4,Asociacion,IIIws,73,0
Sf,1,2027,Consociacion Saforcada,Consociacion,IVes,32,0
Sf1,1,2028,Asociacion Saforcada 1,Asociacion,IVes,42,0
Sf10,1,2029,Consociacion Saforcada 10,Consociacion,IVes,42,0
Sf11,1,2030,Consociacion Saforcada 11,Consociacion,IVes,41,0
Sf12,1,2031,Complejo Saforcada 12,Complejo,IIIs,54,0
Sf13,1,2032,Complejo Saforcada 13,Complejo,IVes,32,0
Sf14,1,2033,Complejo Saforcada 14,Complejo,IVes,46,0
Sf15,1,2034,Complejo Saforcada 15,Complejo,IIIes,50,0
Sf16,1,2035,Complejo Saforcada 16,Complejo,IVes,42,0
Sf17,1,2036,Complejo Saforcada 17,Complejo,IIIew,48,0
Sf18,1,2037,Asociacion Saforcada 18,Asociacion,IIIs,71,0
Sf19,1,2038,Consociacion Saforcada 19,Consociacion,IVe,51,0
Sf2,1,2039,Asociacion Saforcada 2,Asociacion,IIIes,52,0
Sf3,1,2040,Consociacion Saforcada 3,Consociacion,IVes,39,0
Sf4,1,2041,Asociacion Saforcada 4,Asociacion,IVes,44,0
Sf6,1,2042,Consociacion Saforcada 6,Consociacion,IVes,37,0
Sf8,1,2043,Asociacion Saforcada 8,Asociacion,IIIs,57,0
Sf9,1,2044,Asociacion Saforcada 9,Asociacion,IIIs,65,0
SFe,1,2045,Comp Indif. Complejo de suelos alcalinos San Fermin,Comp Indif.,VIIws,4,0
SG1,1,2046,Complejo San Gregorio 1,Complejo,IVws,42,0
SG4,1,2047,Complejo San Gregorio 4,Complejo,IIw,74,0
SG5,1,2048,Complejo San Gregorio 5,Complejo,IIIws,50,0
SG6,1,2049,Complejo San Gregorio 6,Complejo,IIIw,62,0
SG7,1,2050,Complejo San Gregorio 7,Complejo,IVws,44,0
SGb1,1,2051,Complejo San Gabriel 1,Complejo,IVws,0,0
SGb10,1,2052,Complejo San Gabriel 10,Complejo,VIws,18,0
SGb11,1,2053,Complejo San Gabriel 11,Complejo,IVws,28,0
SGb12,1,2054,Complejo San Gabriel 12,Complejo,VIw,19,0
SGb13,1,2055,Complejo San Gabriel 13,Complejo,VIIws,11,0
SGb2,1,2056,Complejo San Gabriel 2,Complejo,VIws,0,0
SGb3,1,2057,Consociacion San Gabriel 3,Consociacion,VIIws,0,0
SGb4,1,2058,Complejo San Gabriel 4,Complejo,VIws,19,0
SGb5,1,2059,Complejo San Gabriel 5,Complejo,VIws,23,0
SGb6,1,2060,Complejo San Gabriel 6,Complejo,VIIws,15,0
SGb7,1,2061,Complejo San Gabriel 7,Complejo,VIws,11,0
SGb8,1,2062,San Gabriel 8,NA,NA,0,0
SGb9,1,2063,Complejo San Gabriel 9,Complejo,VIws,10,0
