simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
43p,1,36,NA,Asociacion,NA,0,0
47p,1,40,NA,Asociacion,NA,0,0
50p,1,43,NA,Asociacion,NA,0,0
51p,1,44,NA,Asociacion,NA,0,0
52p,1,45,NA,Consociacion,NA,0,0
54p,1,47,NA,Consociacion,NA,0,0
76p,1,66,NA,Asociacion,NA,0,0
77p,1,67,NA,Asociacion,NA,0,0
82p,1,72,NA,Asociacion,NA,0,0
Ab,1,73,Consociacion El Arbolito,Consociacion,IIw o I-2,77,0
Ab12,1,74,Asociacion El Arbolito 12,Asociacion,NA,NA,1
Ab2x,1,75,Consociacion El Arbolito 2x,Consociacion,IIIw,68,0
Ab4,1,76,Complejo El Arbolito 4,Complejo,IIw,69,0
Ab5,1,77,Complejo El Arbolito 5,Complejo,IIIws,60,0
Abb,1,78,Asociacion Abbot,Asociacion,VIws,38,0
Abb1,1,79,Consociacion Abbot 1,Consociacion,VIws,54,0
Abb10,1,80,Complejo Abbot 10,Complejo,VIws,46,0
Abb2,1,81,Complejo Abbot 2,Complejo,VIws,46,0
Abb3,1,82,Complejo Abbot 3,Complejo,VIws,37,0
Abb4,1,83,Complejo Abbot 4,Complejo,VIws,41,0
Abb5,1,84,Complejo Abbot 5,Complejo,IVws,43,0
Abb6,1,85,Complejo Abbot 6,Asociacion,IVws,42,0
Abb7,1,86,Asociacion Abbot 7,Asociacion,IVws,43,0
Abb8,1,87,Complejo Abbot 8,Complejo,IVws,43,0
Abb9,1,88,Complejo Abbot 9,Complejo,VIws,32,0
AC2,1,89,Complejo Aaron Castellanos 2,Complejo,VIws,29,0
AC4,1,90,Complejo Aaron Castellanos 4,Complejo,VIws,16,0
AC5,1,91,Complejo Aaron Castellanos 5,Complejo,VIws,26,0
AC6,1,92,Complejo Aaron Castellanos 6,Complejo,VIws,22,0
AC7,1,93,Complejo Aaron Castellanos 7,Complejo,VIIws,6,0
ACh,1,95,Complejo Arroyo Chico,Complejo,VIIws,9,0
ACh1,1,96,Complejo Arroyo Chico 1,Complejo,VIII,4,0
ACo,1,97,Consociacion Arroyo Corto,Consociacion,IIIsc,64,0
ACo1,1,98,Consociacion Arroyo Corto 1,Consociacion,IIIsc,62,0
AD,1,99,Consociacion Arroyo Dulce,Consociacion,I-1,84,0
AD1,1,100,Consociacion Arroyo Dulce 1,Consociacion,IIIe,70,0
AD10,1,101,Consociacion Arroyo Dulce 10,Consociacion,IVe,41,0
AD11,1,102,Consociacion Arroyo Dulce 11,Consociacion,IIw,76,0
AD12,1,103,Consociacion Arroyo Dulce 12,Consociacion,IIw,77,0
AD13,1,104,Asociacion Arroyo Dulce,Asociacion,IIw,77,0
AD14x,1,105,Consociacion Arroyo Dulce 14x,Consociacion,IIIw,69,0
AD15,1,106,Consociacion Arroyo Dulce 15,Consociacion,IIIew,62,0
AD2,1,107,Consociacion Arroyo Dulce 2,Consociacion,IIIe,53,0
AD2x,1,108,Consociacion Arroyo Dulce 2x,Consociacion,IIIe,64,0
AD3,1,109,Consociacion Arroyo Dulce 3,Consociacion,IVe,44,0
AD4,1,110,Consociacion Arroyo Dulce 4,Consociacion,IIw,79,0
AD5,1,111,Consociacion Arroyo Dulce 5,Consociacion,IIe,70,0
AD6,1,112,Consociacion Arroyo Dulce 6,Consociacion,IIIe,63,0
AD7,1,113,Consociacion Arroyo Dulce 7,Consociacion,IIIe,66,0
AD8,1,114,Consociacion Arroyo Dulce 8,Consociacion,IVe,49,0
AD9,1,115,Consociacion Arroyo Dulce 9,Consociacion,IIIe,50,0
ADx,2,116,Consociacion  Arroyo Dulce,Consociacion,IIw,86,0
ADx,2,116,Consociacion Arroyo Dulce,Consociacion,IIw,86,0
Agh,1,117,Consociacion Ameghino,Consociacion,IIIs,45,0
Agh1,1,118,Consociacion Ameghino 1,Consociacion,IVs,54,0
Agh2,1,119,Asociacion Ameghino 2,Asociacion,IIIws,46,0
Agh3,1,120,Asociacion Ameghino 3,Asociacion,IIIs,51,0
Agh4,1,121,Complejo Ameghino 4,Complejo,IIIws,48,0
Agh5,1,122,Complejo Ameghino 5,Complejo,IIIs,55,0
Agh6,1,123,Complejo Ameghino 6,Complejo,IIIs,46,0
Agh7,1,124,Asociacion Ameghino 7,Asociacion,IIIws,47,0
Al,1,125,Consociacion Alem,Consociacion,IIs,77,0
Al1,1,126,Complejo Alem 1,Complejo,IIs,73,0
Al2,1,127,Complejo Alem 2,Complejo,IIws,67,0
Al3,1,128,Complejo Alem 3,Complejo,IIw,77,0
Ao1,1,129,Asociacion El Abolengo 1,Asociacion,IIws,70,0
Ao4,1,130,Complejo El Abolengo 4,Complejo,IIIws,46,0
Ao5,1,131,El Abolengo 5,NA,IIIws,59,0
Ao6,1,132,Asociacion El Abolengo 6,Asociacion,IIs,72,0
Ao7,1,133,Asociacion El Abolengo 7,Asociacion,IIws,63,0
Ao8,1,134,Asociacion El Abolengo 8,Asociacion,IIw,71,0
Ao9,1,135,Complejo El Abolengo 9,Complejo,IIIw,64,0
AoCM,1,136,Grupo no diferenciado de suelos hidromorficos alcalinos del Arroyo Cura Malal Grande,GND,VIws,10,0
AoPhG,1,137,Complejo del Arroyo Pillahuinco Grande,GND,VIws,15,0
AoZa2,1,138,Complejo Arroyo de Zabala 2,Complejo,IVes,40,0
AoZa3,1,139,Complejo Arroyo de Zabala 3,Complejo,IVes,42,0
AoZa4,1,140,Asociacion Arroyo de Zabala 4,Asociacion,IVes,45,0
AoZa5,1,141,Asociacion Arroyo de Zabala 5,Asociacion,IVes,40,0
AoZa6,1,142,Asociacion Arroyo de Zabala 6,Asociacion,IVes,46,0
AP,1,143,Consociacion Arroyo Pantanoso,Consociacion,VIws,18,0
AP1,1,144,Complejo Arroyo Pantanoso 1,Complejo,VIws,35,0
AP2,1,145,Complejo Arroyo Pantanoso 2,Complejo,VIws,24,0
Ar,1,146,Consociacion Arrecifes,Consociacion,IIe,77,0
AR,1,147,Consociacion Agustin Roca,Consociacion,Vw,29,0
Ar10,1,148,Asociacion Arrecifes 10,Asociacion,IVes,42,0
Ar11,1,149,Asociacion Arrecifes 11,Asociacion,IVes,42,0
Ar12,1,150,Complejo Arrecifes 12,Complejo,IVws,48,0
Ar2,1,151,Consociacion Arrecifes 2,Consociacion,IIIe,60,0
Ar3,1,152,Consociacion Arrecifes 3,Consociacion,IVe,40,0
Ar4,1,153,Consociacion Arrecifes 4,Consociacion,IVe,43,0
Ar5,1,154,Consociacion Arrecifes 5,Consociacion,IVe,38,0
Ar6,1,155,Consociacion Arrecifes 6,Consociacion,IVe,38,0
Ar7x,1,156,Consociacion Arrecifes 7x,Consociacion,IIIe,60,0
Ar8,1,157,Consociacion Arrecifes 8,Consociacion,IIIw,75,0
Ar9,1,158,Asociacion Arrecifes 9,Asociacion,IIIes,49,0
Arg,1,159,Asociacion Argerich,Asociacion,VII,NA,1
Arx,1,160,Consociacion Arrecifes x,Consociacion,IIw,77,0
At,1,161,Consociacion Atucha,Consociacion,IIw,73,0
At1,1,162,Consociacion Atucha 1,Consociacion,IIIew,66,0
At1x,1,163,Consociacion Atucha 1x,Consociacion,IIIew,69,0
At2x,1,164,Consociacion Atucha 2x,Consociacion,IIIew,60,0
At3,1,165,Consociacion Atucha 3,Consociacion,IVe,37,0
AV,1,166,Consociacion Paraje Arenas Verdes,Consociacion,VIIes,9,0
AV1,1,167,Consociacion Paraje Arenas Verdes 1,Consociacion,VIIs,2,0
AV2,1,168,Asociacion Paraje Arenas Verdes 2,Asociacion,VIIes,15,0
AV3,1,169,Consociacion Paraje Arenas Verdes 3,Consociacion,9,9,0
AV4,1,170,Consociacion Paraje Arenas Verdes 4,Consociacion,VIIes,9,0
AV5,1,171,Complejo Paraje Arenas Verdes 5,Complejo,VIs,17,0
AVi,1,172,Complejo Alta Vista,Complejo,IVs,33,0
AVi1,1,173,Alta Vista 1,NA,IVs,33,0
AVi2,1,174,Consociacion Alta Vista 2,Consociacion,VIes,23,0
AVi3,1,175,Asociacion Alta Vista 3,Asociacion,IVs,39,0
AVi4,1,176,Consociacion Alta Vista 4,Consociacion,VIsc,29,0
AVi5,1,177,Consociacion Alta Vista 5,Consociacion,VIs,0,0
AVi6,1,178,Asociacion Alta Vista 6,Asociacion,NA,0,0
AVi7,1,179,Alta Vista 7,NA,NA,0,0
Ay,1,180,Asociacion Ayacucho,Asociacion,IVws,38,0
Ay1,1,181,Complejo Ayacucho 1,Complejo,IVws,34,0
Ay10,1,182,Complejo Ayacucho 10,Complejo,IVws,34,0
Ay11,1,183,Complejo Ayacucho 11,Complejo,IVws,45,0
Ay12,1,184,Complejo Ayacucho 12,Complejo,VIws,23,0
Ay13,1,185,Complejo Ayacucho 13,Complejo,VIws,34,0
Ay15,1,186,Consociacion Ayacucho 15,Consociacion,IVws,41,0
Ay16,1,187,Complejo Ayacucho 16,Complejo,IVws,30,0
Ay17,1,188,Asociacion Ayacucho 17,Asociacion,IIIws,43,0
Ay18,1,189,Asociacion Ayacucho 18,Asociacion,IIIws,50,0
Ay2,1,190,Asociacion Ayacucho 2,Asociacion,IVws,32,0
Ay3,1,191,Complejo Ayacucho 3,Complejo,VIws,22,0
Ay5,1,192,Complejo Ayacucho 5,Complejo,IIIws,53,0
Ay6,1,193,Complejo Ayacucho 6,Complejo,VIws,24,0
Ay7,1,194,Complejo Ayacucho 7,Complejo,IVws,47,0
Ay8,1,195,Complejo Ayacucho 8,Complejo,IVws,30,0
Ay9,1,196,Complejo Ayacucho 9,Complejo,IVws,48,0
Az10,1,197,Complejo Azul 10,Complejo,NA,NA,1
Az12,1,198,Consociacion Azul 12,Consociacion,IIs,58,0
Az13,1,199,Complejo Azul 13,Complejo,IIIw,56,0
Az14,1,200,Complejo Azul 14,Complejo,IIIws,51,0
Az35,1,201,Complejo Azul 35,Complejo,IIIws,45,0
Az37,1,202,Complejo Azul 37,Complejo,IIIs,48,0
Az40,1,203,Complejo Azul 40,Complejo,IVes,30,0
Az41,1,204,Asociacion Azul 41,Asociacion,IVws,44,0
Az42,1,205,Complejo Azul 42,Complejo,IIIs,49,0
Az43,1,206,Complejo Azul 43,Complejo,IIIws,48,0
Az44,1,207,Complejo Azul 44,Complejo,IVes,40,0
Az45,1,208,Complejo Azul 45,Complejo,IIIes,50,0
Az46,1,209,Complejo Azul 46,Complejo,IIIs,57,0
Az51,1,210,Asociacion Azul 51,Asociacion,IIIs,54,0
Az6,1,211,Complejo Azul 6,Complejo,IIIs,42,0
Az8,1,212,Complejo Azul 8,Complejo,NA,NA,1
Azg,1,213,Asociacion Azcuenaga,Asociacion,IVws,40,0
Bal,1,215,Complejo Balcarce,Complejo,IIIes,50,0
Bal1,1,216,Complejo Balcarce 1,Complejo,IVes,35,0
Bal10,1,217,Complejo Balcarce 10,Complejo,IIIes,44,0
Bal11,1,218,Complejo Balcarce 11,Complejo,IIIes,56,0
Bal12,1,219,Complejo Balcarce 12,Complejo,IIIes,55,0
Bal13,1,220,Asociacion Balcarce 13,Asociacion,IIIes,54,0
Bal14,1,221,Asociacion Balcarce 14,Asociacion,IIIes,46,0
Bal15,1,222,Complejo Balcarce 15,Complejo,IIIs,68,0
Bal16,1,223,Complejo Balcarce 16,Complejo,IIIes,54,0
Bal17,1,224,Complejo Balcarce 17,Complejo,IIIes,54,0
Bal18,1,225,Complejo Balcarce 18,Complejo,IIIs,67,0
Bal2,1,226,Complejo Balcarce 2,Complejo,IIIes,52,0
Bal20,1,227,Complejo Balcarce 20,Complejo,IVes,35,0
Bal21,1,228,Consociacion Balcarce 21,Consociacion,IIIs,55,0
Bal22,1,229,Consociacion Balcarce 22,Consociacion,IIIs,54,0
Bal23,1,230,Complejo Balcarce 23,Complejo,IIIs,65,0
Bal24,1,231,Complejo Balcarce 24,Complejo,IIIs,44,0
Bal25,1,232,Complejo Balcarce 25,Complejo,IIIes,44,0
Bal26,1,233,Complejo Balcarce 26,Complejo,IVes,32,0
Bal27,1,234,Complejo Balcarce 27,Complejo,IVes,48,0
Bal28,1,235,Complejo Balcarce 28,Complejo,IIIws,66,0
Bal29,1,236,Complejo Balcarce 29,Complejo,IIIes,49,0
Bal3,1,237,Complejo Balcarce 3,Complejo,IIIew,47,0
Bal30,1,238,Complejo Balcarce 30,Complejo,IIIes,59,0
Bal4,1,239,Complejo Balcarce 4,Complejo,IIIes,62,0
Bal5,1,240,Complejo Balcarce 5,Complejo,IIIws,43,0
Bal6,1,241,Complejo Balcarce 6,Complejo,IIIws,52,0
Bal7,1,242,Complejo Balcarce 7,Complejo,IVws,36,0
Bal8,1,243,Complejo Balcarce 8,Complejo,IIIes,40,0
Bal9,1,244,Complejo Balcarce 9,Complejo,IIIws,52,0
Bb1,1,245,Complejo Balbin 1,Complejo,IVws,34,0
Bb2,1,246,Complejo Balbin 2,Complejo,VIws,25,0
Bb3,1,247,Estacion La Limpia 3,NA,NA,0,0
BBl,1,248,Asociacion Bahia Blanca,Asociacion,IV,33,0
BCh,1,249,Consociacion Blanca Chica,Consociacion,I-2,73,0
BCh1,1,250,Complejo Blanca Chica 1,Complejo,IVws,49,0
BCh2,1,251,Consociacion Blanca Chica 2,Consociacion,IIIws,60,0
BCh3,1,252,Complejo Blanca Chica 3,Complejo,VIws,52,0
BCh4,1,253,Complejo Blanca Chica 4,Complejo,IIIws,53,0
BCh5,1,254,Blanca Chica 5,NA,IIIws,57,0
BCh6,1,255,Complejo Blanca Chica 6,Complejo,IVws,52,0
BHo,1,256,Complejo Bajo Hondo,Complejo,V,35,0
Bñ,1,214,Bañado,-,VIII,NA,0
Bo1,1,257,Asociacion Bonete 1,Asociacion,IVsc,38,0
Br,1,258,Complejo Brandsen,Complejo,IIIws,56,0
Br1,1,259,Complejo Brandsen 1,Complejo,IVws,42,0
Br10,1,260,Complejos Brandsen 10,Complejos,IIIws,53,0
Br13,1,261,Complejo Brandsen 13,Complejo,IVws,48,0
Br2,1,262,Consociacion Brandsen 2,Consociacion,IIws,67,0
Br3,1,263,Consociacion Brandsen 3,Consociacion,IVws,57,0
Br4,1,264,Asociacion Brandsen 4,Asociacion,IIIws,49,0
Br5,1,265,Asociacion Brandsen 5,Asociacion,IVws,48,0
Br6,1,266,Complejo Brandsen 6,Complejo,IIIws,52,0
Br7,1,267,Asociacion Brandsen 7,Asociacion,IIIws,59,0
Br8,1,268,Complejo Brandsen 8,Complejo,IIIws,54,0
Br9,1,269,Complejo Brandsen 9,Complejo,IIIws,55,0
Bra,1,270,Asociacion Bragado,Asociacion,IIs,78,0
Bra1,1,271,Complejo Bragado 1,Complejo,IIs,77,0
Bra10,1,272,Complejo Bragado 10,Complejo,IIIws,53,0
Bra11,1,273,Complejo Bragado 11,Complejo,IIIs,58,0
Bra2,1,274,Complejo Bragado 2,Complejo,IIIws,70,0
Bra3,1,275,Complejo Bragado 3,Complejo,IIs,83,0
Bra4,1,276,Asociacion Bragado 4,Asociacion,IIs,76,0
Bra5,1,277,Asociacion Bragado 5,Asociacion,IIIes,62,0
Bra6,1,278,Complejo Bragado 6,Complejo,IIw,77,0
Bra7,1,279,Complejo Bragado 7,Complejo,IIw,74,0
Bra8,1,280,Asociacion Bragado 8,Asociacion,IIw,72,0
Bra9,1,281,Complejo Bragado 9,Complejo,IIs,72,0
BS,1,282,Consociacion Bahia Samborombon,Consociacion,VIIws,11,0
BS1,1,283,Complejo Bahia Samborombon 1,Complejo,VIIws,9,0
Bv,1,284,Complejo Bolivar,Complejo,IIIs,60,0
Bv1,1,285,Asociacion Bolivar 1,Asociacion,IIIws,56,0
Bv10,1,286,Complejo Bolivar 10,Complejo,IVs,42,0
Bv11,1,287,Complejo Bolivar 11,Complejo,IVws,38,0
Bv12,1,288,Asociacion Bolivar 12,Asociacion,IVes,42,0
Bv13,1,289,Complejo Bolivar 13,Complejo,IIIws,49,0
Bv14,1,290,Complejo Bolivar 14,Complejo,IIIws,56,0
Bv15,1,291,Complejo Bolivar 15,Complejo,IVws,43,0
Bv16,1,292,Complejo Bolivar 16,Complejo,IVes,41,0
Bv17,1,293,Complejo Bolivar 17,Complejo,IIIs,52,0
Bv18,1,294,Complejo Bolivar 18,Complejo,IVws,45,0
Bv19,1,295,Complejo Bolivar 19,Complejo,IVws,33,0
Bv2,1,296,Complejo Bolivar 2,Complejo,IVws,38,0
Bv20,1,297,Complejo Bolivar 20,Complejo,IVws,35,0
Bv21,1,298,Complejo Bolivar 21,Complejo,IVws,38,0
Bv22,1,299,Asociacion Bolivar 22,Asociacion,IVws,38,0
Bv23,1,300,Complejo Bolivar 23,Complejo,IVws,26,0
Bv24,1,301,Consociacion Bolivar 24,Consociacion,IIIws,46,0
Bv25,1,302,Complejo Bolivar 25,Complejo,IVws,39,0
Bv26,1,303,Asociacion Bolivar 26,Asociacion,IIIws,48,0
Bv27,1,304,Asociacion Bolivar 27,Asociacion,IVws,42,0
Bv28,1,305,Asociacion Bolivar 28,Asociacion,IIIws,58,0
Bv29,1,306,Asociacion Bolivar 29,Asociacion,IVes,44,0
Bv3,1,307,Consociacion Bolivar 3,Consociacion,IIIs,56,0
Bv30,1,308,Asociacion Bolivar 30,Asociacion,IVws,40,0
Bv31,1,309,Complejo Bolivar 31,Complejo,IIIs,56,0
Bv32,1,310,Asociacion Bolivar 32,Asociacion,IIIes,41,0
Bv33,1,311,Complejo Bolivar 33,Complejo,IIIes,38,0
Bv34,1,312,Complejo Bolivar 34,Complejo,IIIes,40,0
Bv35,1,313,Complejo Bolivar 35,Complejo,IVws,35,0
Bv36,1,314,Asociacion Bolivar 36,Asociacion,IVes,30,0
Bv37,1,315,Complejo Bolivar 37,Complejo,IIIs,59,0
Bv4,1,316,Consociacion Bolivar 4,Consociacion,IIIs,50,0
Bv6,1,317,Complejo Bolivar 6,Complejo,IVws,32,0
Bv7,1,318,Complejo Bolivar 7,Complejo,IVws,33,0
Bv8,1,319,Complejo Bolivar 8,Complejo,NA,38,1
Bv9,1,320,Complejo Bolivar 9,Complejo,IVws,32,0
CAAoS,1,321,GND Complejo de suelos alcalinos salinos del Arroyo Saladillo,GND,VIIws,4,0
Cas1,1,322,Complejo Castelli 1,Complejo,VIws,15,0
Cas2,1,323,Complejo Castelli 2,Complejo,VIIws,7,0
Cas4,1,324,Complejo Castelli 4,Complejo,VIws,13,0
Cas5,1,325,Complejo Castelli 5,Complejo,VIws,11,0
Cas6,1,326,Complejo Castelli 6,Complejo,VIIws,6,0
Cb,1,327,Consociacion Carabelas,Consociacion,IIw,77,0
Cb1x,1,328,Consociacion Carabelas 1,Consociacion,IIIw,68,0
Cb2,1,329,Consociacion Carabelas 2,Consociacion,IIIw,67,0
Cb3,1,330,Asociacion Carabelas 3,Asociacion,IIw,69,0
CBu,1,331,Consociacion Coronel Bunge,Consociacion,VIws,17,0
CBu1,1,332,Complejo Coronel Bunge 1,Complejo,VIIws,6,0
CC,1,333,Complejo Cinco Cerros,Complejo,IVs,36,0
CC1,1,334,Complejo Cinco Cerros 1,Complejo,IVes,27,0
CC11,1,335,Complejo Cinco Cerros 11,Complejo,IVes,38,0
CC12,1,336,Complejo Cinco Cerros 12,Complejo,NA,37,1
CC13,1,337,Complejo Cinco Cerros 13,Complejo,NA,33,1
CC2,1,338,Complejo Cinco Cerros 2,Complejo,IVes,26,0
CC3,1,339,Complejo Cinco Cerros 3,Complejo,IVs,30,0
CC4,1,340,Asociacion Cinco Cerros 4,Asociacion,IVws,32,0
CC5,1,341,Complejo Cinco Cerros 5,Complejo,IVes,22,0
CC6,1,342,Complejo Cinco Cerros 6,Complejo,VIws,21,0
CC7,1,343,Complejo Cinco Cerros 7,Complejo,VIws,22,0
CC8,1,344,Complejo Cinco Cerros 8,Complejo,IVes,37,0
CC9,1,345,Complejo Cinco Cerros 9,Complejo,IVes,36,0
Cda,1,346,Complejo Cascada,Complejo,IVws,44,0
Cda1,1,347,Complejo Cascada 1,Complejo,IVws,39,0
Cda2,1,348,Consocacion Cascada 2,Consocacion,IIIs,46,0
Cda3,1,349,Complejo Cascada 3,Complejo,IIIws,57,0
Cda4,1,350,Complejo Cascada 4,Complejo,IIIs,51,0
Cda5,1,351,Asociacion Cascada 5,Asociacion,IVs,45,0
Cda6,1,352,Complejo Cascada 6,Complejo,IIIs,56,0
Cda7,1,353,Asociacion Cascada 7,Asociacion,NA,NA,1
Cda8,1,354,Complejo Cascada 8,Complejo,NA,NA,1
Cda9,1,355,Consociacion Cascada 9,Consociacion,NA,NA,1
CdChi,1,356,Complejo Cerro del Chimango,Complejo,NA,NA,1
CEs,1,357,Asociacion Comandante Espora,Asociacion,IIIsc,35,0
Ch,1,358,Consociacion Chascomus,Consociacion,IIIw,69,0
Ch1,1,359,Complejo Chascomus 1,Complejo,IIIws,49,0
Ch2,1,360,Consociacion Chascomus 2,Consociacion,IIIws,56,0
Cha,1,361,Consociacion Chacabuco,Consociacion,IIw,84,0
Cha1,1,362,Consociacion Chacabuco 1,Consociacion,IIw,74,0
Cha11,1,363,Complejo Chacabuco 11,Complejo,IIIws,52,0
Cha12,1,364,Consociacion Chacabuco 12,Consociacion,IIw,83,0
Cha13,1,365,Consociacion Chacabuco 13,Consociacion,IIIw,68,0
Cha14,1,366,Complejo Chacabuco 14,Complejo,IIIw,62,0
Cha16,1,367,Asociacion Chacabuco 16,Asociacion,IIIws,64,0
Cha17,1,368,Asociacion Chacabuco 17,Asociacion,IIw,76,0
Cha2,1,369,Consociacion Chacabuco 2,Consociacion,IIIw,75,0
Cha4,1,370,Consociacion Chacabuco 4,Consociacion,IIw,83,0
Cha5,1,371,Asociacion Chacabuco 5,Asociacion,IIw,80,0
Cha6,1,372,Asociacion Chacabuco 6,Asociacion,IIIws,73,0
Cha7,1,373,Asociacion Chacabuco 7,Asociacion,IIw,72,0
Cha8,1,374,Complejo Chacabuco 8,Complejo,IIIws,63,0
Chas1,1,375,Asociacion Chasico 1,Asociacion,IIIsc,54,0
Chas2,1,376,Asociacion Chasico 2,Asociacion,IIIsc,51,0
Chas3,1,377,Asociacion Chasico 3,Asociacion,IIIs,65,0
Chas4,1,378,Asociacion Chasico 4,Asociacion,NA,0,0
Chas6,1,379,Asociacion Chasico 6,Asociacion,IVsc,51,0
Che,1,380,Complejo Chelforo,Complejo,VIws,17,0
Che1,1,381,Complejo Chelforo 1,Complejo,VIws,19,0
Che10,1,382,Complejo Chelforo 10,Complejo,VIws,16,0
Che11,1,383,Complejo Chelforo 11,Complejo,VIIws,14,0
Che13,1,384,Complejo Chelforo 13,Complejo,VIws,30,0
Che14,1,385,Complejo Chelforo 14,Complejo,VIws,14,0
Che15,1,386,Complejo Chelforo 15,Complejo,VIws,25,0
Che2,1,387,Asociacion Chelforo 2,Asociacion,VIws,19,0
Che3,1,388,Complejo Chelforo 3,Complejo,VIws,20,0
Che4,1,389,Complejo Chelforo 4,Complejo,VIws,22,0
Che5,1,390,Complejo Chelforo 5,Complejo,VIIws,23,0
Che6,1,391,Complejo Chelforo 6,Complejo,VIws,15,0
Che7,1,392,Complejo Chelforo 7,Complejo,VII,10,0
Che8,1,393,Complejo Chelforo 8,Complejo,VIws,15,0
Che9,1,394,Complejo Chelforo 9,Complejo,VIws,18,0
CHj,1,395,Complejo Chaja,Complejo,VIIws,18,0
Chj1,1,396,Complejo Chaja 1,Complejo,VIws,17,0
CHo,1,397,Consociacion Cañada Honda,Consociacion,IIIw,68,0
Chr,1,398,Complejo Chocori,Complejo,Vw,39,0
Chr1,1,399,Complejo Chocori 1,Complejo,IVws,38,0
Chr2,1,400,Complejo Chocori 2,Complejo,Vw,44,0
Chr3,1,401,Complejo Chocori 3,Complejo,NA,0,1
Clq,1,403,Complejo Mal Abrigo,Complejo,NA,0,0
CM,1,404,Comp Indif. Suelos no determinados,Comp Indif.,VIII,1,0
CMa,1,405,Consociacion Cura Malal,Consociacion,IIIec,67,0
CMa1,1,406,Complejo Cura Malal 1,Complejo,IIIec,63,0
CMl,1,407,Complejo Claudio Molina,Complejo,IIIw,66,0
CMl1,1,408,Complejo Claudio Molina 1,Complejo,IIIw,65,0
CMr2,1,409,Micaela Cascallares 2,NA,NA,0,0
CMt,1,410,Complejo Cristiano Muerto,Complejo,IVws,38,0
CMt1,1,411,Complejo Cristiano Muerto 1,Complejo,VIws,20,0
CMt2,1,412,Complejo Cristiano Muerto 2,Complejo,NA,NA,1
Cñ,1,402,Consociacion Cañuelas,Consociacion,IIIws,NA,0
Cni,1,413,GND Complejo de suelos aluviales hidromorficos Carboni,GND,VIIws,8,0
Co1,1,414,Comp Indif. Complejo de suelos hidromorficos del Arroyo Pergamino I 1,Comp Indif.,VIws,15,0
Co10,1,415,Comp Indif. Complejo de suelos hidromorficos del Arroyo de los Ingleses 10,Comp Indif.,VIws,24,0
Co100,1,416,Comp Indif. Complejo de suelos hidromorficos muy anegables Rio Salado IIa 100,Comp Indif.,VIIws,6,0
Co101,1,417,Comp Indif. Complejo de suelos hidromorficos drenaje imperfecto a pobre Rio Salado Ia 101,Comp Indif.,VIws,10,0
Co102,1,418,Comp Indif. Complejo de suelos hidromorficos alcalinos La Brava I 102,Comp Indif.,VIws,10,0
Co103,1,419,Comp Indif. Complejo de suelos muy hidromorficos alcalino-sodicos anegables La Brava Ia anegable 103,Comp Indif.,VIIws,8,0
Co104,1,420,Comp Indif. Complejo de suelos muy hidromorficos ligeramente alcalino muy anegables La Brava II 104,Comp Indif.,VIIws,6,0
Co105,1,421,Comp Indif. Complejo de suelos hidromorficos y alcalino sodicos Canada del Sauce 105,Comp Indif.,VIws,12,0
Co106,1,422,Comp Indif. Complejo de suelos alcalinos sodicos anegables Heavy 106,Comp Indif.,VIIws,6,0
Co107,1,423,Comp Indif. Complejo de suelos Carmen de Areco anegable y engrosada 107,Comp Indif.,VIIws,6,0
Co108,1,424,Comp Indif. Complejo de suelos alcalinos sodicos hidromorficos Tuyuti 108,Comp Indif.,VIws,12,0
Co109,1,425,Comp Indif. Complejo de suelos alcalino sodicos anegables Arroyo Huncalito 109,Comp Indif.,VIIws,6,0
Co11,1,426,Comp Indif. Complejo de suelos sodicos mal drenados Pearson 11,Comp Indif.,VIws,15,0
Co110,1,427,Comp Indif. Complejo de suelos sodico salinos Laguna de Ranchos 110,Comp Indif.,VIIws,6,0
Co111,1,428,Comp Indif. Complejo de suelos sodico salinos anegables Laguna Las Toscas 111,Comp Indif.,VIIws,7,0
Co114,1,429,Comp Indif. Complejo de suelos hidromorficos de la terraza baja del Rio Salado III muy anegable 114,Comp Indif.,VIIws,8,0
Co115,1,430,Comp Indif. Complejo Rivas 115,Comp Indif.,VIIws,10,0
Co116,1,431,Comp Indif. Complejo de suelos alcalinos hidromorficos Canada de Chivilcoy I 116,Comp Indif.,VIIws,10,0
Co118,1,432,Comp Indif. Complejo de suelos muy anegables alcalinos Canada de Chivilcoy II 118,Comp Indif.,VIIws,4,0
Co119,1,433,Comp Indif. Complejo de suelos anegables alcalinos Canada de los Peludos I 119,Comp Indif.,VIIws,10,0
Co12,1,434,Comp Indif. Complejo de suelos hidromorficos del Arroyo de Cepeda 12,Comp Indif.,VIws,16,0
Co120,1,435,Comp Indif. Complejo de suelos anegables salino alcalinos Canada de los Peludos II 120,Comp Indif.,VIIws,10,0
Co121,1,436,Comp Indif. Complejo de suelos muy anegables salino alcalinos Canada de los Peludos II 121,Comp Indif.,VIIws,9,0
Co122,1,437,Comp Indif. Complejo de suelos alcalinos hidromorficos de la Canada del Tio Antonio I 122,Comp Indif.,VIIws,7,0
Co124,1,438,Comp Indif. Complejo de suelos anegables alcalinos de la Canada Mongorena 124,Comp Indif.,VIws,12,0
Co125,1,439,Comp Indif. Complejo de suelos hidromorficos Canada Patricio 125,Comp Indif.,VIws,10,0
