serie,taxo
Suipacha,Argialbol tipico
Saavedra,Hapludol tipico
Saboya,Argiudol tipico
Tandil,Argiudol tipico
Tandileofu,Natracualf molico
Tres Esquinas,Argiudol vertico
Tomas Jofre,Argiacuol tipico
Tambo Nuevo,Argialbol argiacuico
Tornquist,Argiustol tipico
Tronconi,Duracuol natrico
Tatay,Natracuol tipico
El Tuyu,Udipsament tipico
Tuyuti,Natracualf tipico
Udaondo,Argiudol abruptico
Urquiza,Paleudol tipico
Vedia,Natracualf tipico
Videla Dorna,Epiaquerts tipico
Veronica,Dystrudert acuico
Vichahuel,Natracuol vertico
Veinticinco de Mayo,Udipsament tipico
Vieytes,Natracuert tipico
Rojas,NA
Sancti Spiritu,Argialbol tipico
Mascota,Cuarzipsament tipico
Cinco Cerros,"Paleudol petrocalcico, somera"
La Delicia,"Paleudol petrocalcico, somera."
Los Pinos,Argialbol tipico
La Nueva Esperanza,"Natrudol tipico, muy profunda"
Plomer,NA
Chasico,Paleustol petrocalcico
Estancia La Chana,Epiacuole tipico
Laprida,"Argiudol tipico, profunda."
Wheelwright,NA
Tres Lomas,Haplustol litico
Las Gamas,NA
General Conesa,Pelludert tipico acuico
San Antonio,Argiustol tÃ½pico
Ortiz de Rosas,Hapludol tapto argico
Las Gamas,Argiudol tipico
Rancho Grande,"Paleudol petrocalcico,muy somera."
La Oriental,Argiudol acuico
General La Madrid,"Natrudol tipico, profunda"
Amenabar,Natracualf tipico
Loberia,NA
Olascoaga,Argialbol argiacuico
Indacochea,Argiudol tipico
La Albina,Hapludol tapto argico
Teodelina,Argiudol oxyacuico
Rojas,Natralbol tipico
Villa Rossi,Natracualf tipico
Rio Tala,NA
Santa Lucia,NA
Chasico,NA
La Reforma,Argiudol acuico
Loberia,Natracuol tipico
Delgado,NA
Tres Arroyos,"Paleudol petrocalcico, mod.profun."
Hughes,NA
Paleustol petrocalcico,Haplustol entico
Haplustol entico (sodico),Ustifluvente tipico
Torripsamente tipico,NA
Calciustol petrocalcico,Haplustol entico
Haplustol aridico,Haplustol aridico
Haplustol acuico,Haplustol acuico
Torripsamente tipico,Haplustol entico
Los Mochos,Argiudol abruptico
Cascada,Argiudol tipico
Arroyo Dulce,Argialbol argiacuico
Tres Arroyos,Hapludol litico
Cerro del Chimango,Argiustol tÃ½pico
Los Pinos,"Natracualfs molico, muy profunda"
Ayacucho,"Natrudol tipico, profunda."
Capitan Sarmiento,"Argiudol abruptico, profunda"
Rio Tala,"Paleudol petrocalcico, mod.profun."
Roca,Miscelaneas
Erize,Argiustol tÃ½pico
Roca,Roca
Maipu,Natracuol tipico
Rauch,"Natrudol tipico, profunda."
Gral Guido,Natracuol tipico
Tandil,NA
Barker,Argiudol calcico
Azul,NA
Olavarria,"Paleudol petrocalcico,f. mod.prof."
Cinco Cerros,Argiudol litico
Balcarce,"Paleudol petrocalcico,f. mod.prof."
Sierra Chica,"Natrudol petrocalcico, mod.profun."
Blanca Chica,"Paleudol petrocalcico, profunda"
General Cerri,Haplustol litico
Calderon,Haplustol thapto argico
Estacion Rivera,Haplustol petrocalcico
Tatay,Argialbol tipico
Comodoro Py,Argiudol tipico
Suelos indiferenciados de bajos,Suelos indiferenciados
Saladillo,Hapludol tapto argico
Carlos Salas,Hapludol tapto natrico
Pirovano,Hapludol tapto molico
Salazar,Duracuol natrico
Veinticinco de Mayo,Uidipsament tipico
Suelos Indiferenciados de bajos,Suelos indiferenciados
Estancia Aldecoa,Argiudol acuico
Las Margaritas,"Natracualfs petrocalcico,mod.prof."
La Alianza,"Paleudol petrocalcico, somera."
Azul,"Paleudol petrocalcico,mod.profund"
Pillahuinco,"Paleudol petrocalcico, somera."
Estacion La Nevada,NA
Cruzada,NA
Estancia Ojo de Agua,NA
Estela,"Paleustol petrocalcico, mod. profunda"
Tandileofu,"Natracualfs molico, muy profunda"
General Lavalle,NA
Napaleofu,"Paleudol petrocalcico,mod.profund"
El Tordillo,NA
Cura Malal,Haplustol tipico
El Gavilan,Argiudol vertico
Laprida,NA
San Gabriel,NA
Ayacucho,Hapludol thapto natrico
Miscelaneas de agua,Miscelaneas (agua)
Tecua,"Natralbol petrocalcico,mod.profun."
Elena,"Natracualfs petrocalcico,mod.prof."
Cañada Honda,"Paleudol petrocalcico, profunda"
Corrales,Argiudol acuico
Elordi,Hapludol thapto natrico
Estela,Argiustol tipico
El Tordillo,Pelludert tipico acuico
Estancia Ojo de Agua,Haplustol litico
Erize,Haplustol litico
Naposta,Haplustol litico
La Escocia,Argialbol argiacuico
Arroyo Corto,NA
Afloramiento rocoso,NA
Tosca,NA
La Limpia,NA
Monte La Plata,Argiudol tipico
Punta Indio,Paleudoles Enticos
La Laguna,Argiudol acuico
Atalaya,Fluvacuent tipico
Ayacucho,Hapludol thapto argico
Cachari,Natrudol tipico
Semillero Buck,Natracuol tipico
Estancia San Baldomero,Epiacuole tipico
Dufaur,Argiustol tÃ½pico
Los Leones,Natracuol tipico
